"","point","review"
"1","9","처음에는 주디갈란드의 어린시절부터의 활동분량이 많은 줄 알았습니다.아무래도 중간중간 회상장면으로 들어가서 그런지 조금 지루하다는 느낌이 들긴했으나 괜찮았습니다.마지막 오버더레인보우 장면에서는 저도 모르게 눈물이 나더군요.보고난 후에는 한동안 여운이 남는 영화였습니다.왜 르네젤위거가 상을 받았는지 알겠습니다."
"2","4","이영화 비추다역시나 지루하고 잔잔하고 딱 잠 오는 영화 였다드라마 장르는 뭐랄까 아무래도 남자들이 보기에는 도저히 어쩔 수가 없나 보다하지만 왜 르네 젤위거 배우가 아카데미상을 받았는지 충분히 이해가 동의가 되는 그런 영화였다영국에서는 1960년대 동성애자들을 그무슨 음란죄란 죄명으로 빌미로 삼아서 실형에 처했었나보다암튼 그당시 시대상 잘 표현해주었고 아역배우에 대한 처우 등 특별히 의상과 분장화장 등 좋았다 또한 주디 갈란트 아역배우도 연기도 좋고 했는데 진심 박살나고 폭발하고 그런거 전혀 없이 암튼 너무너무 따분한 영화였다르네 젤위거 연기는 나역시 스칼렛 요한슨 보다도 더 좋았고 왜 플로렌스 퓨가 미드소마에서 열연을 했음에도 후보조차도 못올랐는지 납득이 되었다다만 나이 든 르네 젤위거의 얼굴주름은 뭐랄까 시간이 참 속절없이도 흐르는구나 느끼게 해준다"
"3","7","영화자체에 대한  기대  보다는  르네젤위거  팬이라  봄역시   영화는  기대가   없어서  그런지  큰  실망은  없었는데너무  잘 한 분장과도한  연기  때문에르네 젤위거를  느낄수  없었다그냥  르네가  보고 싶었는데"
"4","10",""
"5","8","르네 젤위거의 뛰어난 연기가 인상적임.쇼 비즈니스의 추악한 세계에 어린시절을 학대 당하고 약물 남용으로 심신이 망가지고 요절한 주디 갈란드의 비극적 삶을 생생하게 재현해냈음"
"6","6","역시 그녀는 무대 체질이었다"
"7","9","주디 갈란드는 안타깝고 르네 젤웨거는 완벽하다"
"8","10",""
"9","8","르네젤위거  여우주연상  받을만  했다"
"10","10","도로시는 예전이나 지금이나 희망을 주네요 오버 더 레인보우 너무 감동이에요 또 보고 싶은 영화입니다"
"11","10","오버 더 레인보우에서 눈물 홍수 터졌다. 부모님 모시고 한 번 더 봐야겠다. N차 추천!"
"12","10","화려한 무대에 시선을 빼앗겼다가 엔딩에선 눈물 철철 감동ㅠㅠㅠ 코로나로 힘든 지금, 모두 괜찮아질 거라는 응원을 받은 듯 하네요! 강력추천입니다!"
"13","10",""
"14","7","..."
"15","0",""
"16","10","주디 갈랜드!!! 그녀의 삶을 통해서 인생을 배우는 영화라고 생각합니다!! 꼭 봐야합니다!!"
"17","10","명작 오즈의 마법사에서 도로시를 연기한 주디 갈랜드....그 이면엔 슬프고 참혹한 주디 갈랜드 그녀의 삶...천국에선 마음껏 노래부르고 웃으며 지내길...."
"18","6","찬란해보여도 암울했던 현실."
"19","10","주디 드디어 개봉 ㅠㅠ"
"20","10","넘 기다렸어요 주디 ㅠ 얼른 보고파"
"21","10","르네 젤위거 죽지 않앗구나..."
"22","10","르네 젤위거 갓배우의 띵작"
"23","10","보고 나서 먹먹 또 보고싶네요"
"24","10","감동의 도가니! 꼭 보시게들"
"25","10","폭풍감동"
"26","10","르네 젤위거 연기도 정말 좋구요 보는 내내 그녀에게 따뜻한 위로를 건네는 느낌이라 좋았습니다"
"27","10","르네젤위거 인생 연기!"
"28","1","역시나 르네젤웨거 오버된 연기 욕심에 주디 갈란드의 멋진 환상을 망쳐놓음.변장인디 분장이라 하지만 너무 늙은 배역에중간부터 지겹기까지하다가끝도 황당함."
"29","10","재밌게 봤습니다!"
"30","6","화려한 겉모습보다 더욱 공감가는 내면의 고뇌"
"31","8","주디 갈랜드가 누구인지 몰랐고, 르네 젤위거가 좋아서 본 영화였는데 주디를 추모합니다."
"32","9","제시 버클리는 르네 젤위거의 노래를 들으면서 무슨 생각을 했을까? 얼마나 그 역, 그 노래들을 탐냈을까?ㅎㅎ 모두모두 잘한 영화!!"
"33","9","르네 젤위거의 연기가 압권이었음. 주디갈란드의 인생을 실제로 보는 듯한 느낌과 마지막 공연의 감동이 가슴에 남아 있다."
"34","10","연기력 믿고 본다"
"35","10","르네젤위거의 연기만으로도 극장에서 보아야 하는 이유는 충분!! 거기다 마지막 먹먹한 감동까지 선사해준다"
"36","7","연기와 노래실력은 엄청난데 많이 지루하고 내러티브가 산만하고 어수룩한 데가 많다. 그래도 르네의 노래 부분들에서는 눈알이 튀어 나온다. 특히 오버더 레인보우 장면에서 당신이 울지 않는다면 당신은 사람이 아니다. ㄷㄷ또 작은 아씨들 처럼 못 하고 과거 현재 오가는 게 잘 연결이 안 된 느낌이다. 핀 위트록의 발견은 큰 수확이었다. 그리고 보지도 않고 평점 매기는 사람들은 뭔가? 난 미국서 봤다."
"37","10","오버 더 레인보우!  ㄷㄷㄷ"
"38","9","오즈의 마법사 '도로시'역 천재 아역스타 주디 갈란드(Judy Garland,1922-1969 향년47세/ 신장151cm) 굴곡진 인생을 조명하고 그녀의 삶을 기린다 .."
"39","9","르네 젤위거 버젼의 Over the rainbow 너무 좋네요"
"40","10","명곡과 명품배우의 만남... 꼭 보고 싶다"
