"","comicName","comicSummary","comicGrade"
"1","스파이키 리스키","싱가폴 생활기","9.88"
"2","전지적귀신시점","귀신만화.","9.90"
"3","이상과 현실","일상의 철학","9.92"
"4","공룡 러버즈","장거리 국제연애","9.58"
"5","너나들이","20대남녀연애이야기","9.89"
"6","우리는 예상치 못하게","그럴 때가 있잖아요","9.93"
"7","1인칭 외국인 시점","SOSO 프랑스생활","9.90"
"8","유진의 환상특급열차","유진의 여행기","9.91"
"9","투지만발 슈트라이텐","열혈 로봇물!","9.02"
"10","스펙타클 내인생","스펙타클한 이야기","4.69"
"11","있는 집 자식들","금수저들의 싸움","9.76"
"12","블루랜드","색을 잃고 살아남다","9.90"
"13","9등급 뒤집기","수능 대박 프로젝트","8.62"
"14","함께 할 때까지","바카랑호두랑도마뱀","9.71"
"15","블래커","범죄예측시스템","9.77"
"16","존버닥터","섬탈출까지 존버해라","9.76"
"17","컬러풀","너의 감정이 보여","9.83"
"18","무지개다리 파수꾼","동물의 말이 들린다","9.74"
"19","국화야","동화 속 뒷 이야기","9.57"
"20","멍멍이랑","멍멍","9.89"
"21","안단테","데이트폭력/로맨스","8.73"
"22","찌질이의 아프리카 라이프","아프리카 취업이야기","9.91"
"23","보급형 콤플렉스","보급형 내 인생","9.90"
"24","연습생 고영신","아이돌 연습생","9.87"
